status,Police,Space,mal_score,authors,Vampire,Demons,Sports,Romance,Music,Comedy,Yuri,SuperPower,SliceofLife,Harem,Josei,Fantasy,Cars,Horror,Shoujo,num_chap,Game,Adventure,ShoujoAi,GenderBender,Thriller,SciFi,Mystery,School,Kids,Magic,ShounenAi,Yaoi,genres,Drama,Samurai,mal_popularity,Historical,MartialArts,Action,Military,Parody,Seinen,Hentai,mal_ranking,title,mal_url,Shounen,Psychological,Mecha,synopsis,num_vol,Supernatural,Dementia,Ecchi,Doujinshi
Finished,0,0,7.12,"Morita,Marita|Kuroda,Takayoshi",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,68,0,0,0,0,0,1,0,1,0,0,0,0,"Comedy, Ecchi, Romance, School, SciFi, Shounen, Harem",0,0,1296,0,0,0,0,0,0,0,7721,Tadashii Kodomo no Tsukurikata!,https://myanimelist.net/manga/37507/Tadashii_Kodomo_no_Tsukurikata,1,0,0," The future where the Virus of Death shall destroy humanity awaits. In order for humans to avert that destiny, Raito is asked to travel back to the past. His mission: to make sure a normal high school freshman Tanaka Yuu makes children with his childhood friend Takane Kyouko!  (Source: MangaHelpers)",7,0,0,1,0
Finished,0,0,7.05,"Inoue,Yoshihisa",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,"Hentai, School, Harem",0,0,18317,0,0,0,0,0,0,1,N/A,Teacher x Teacher,https://myanimelist.net/manga/50803/Teacher_x_Teacher,0,0,0," A NEET by the name Oguni-kun refuses to come to school because there is nothing there for him, until an ambitious teacher comes to get him through his open window.   Onsen Burumanjuu",1,0,0,0,0
Finished,0,0,6.89,"Ogami,Wolf",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,"Hentai, Harem",0,0,10757,0,0,0,0,0,0,1,N/A,Super Family Complex,https://myanimelist.net/manga/3530/Super_Family_Complex,0,0,0," The manga is about a high school student Yuu who, raised separately, is reunited with his mother, Misako, and his sister, Eri, who both become infatuated with him. When Yuu becomes sexually aroused his inner demons take over and he is unable to control his actions, and the women in his family, his English teacher from America, and a female neighbor, are quick to take advantage of this.  (Source: Wikipedia)   Volume 1: Secret Girl Volume 2: Kore de Oshimai!?, Saru",2,0,0,0,0
Finished,0,0,7.27,Shirotsumekusa,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,"Action, Adventure, Fantasy, Harem, Seinen",0,0,12004,0,0,1,0,0,1,0,6020,Tears to Tiara: Kakan no Daichi,https://myanimelist.net/manga/16524/Tears_to_Tiara__Kakan_no_Daichi,0,0,0," Set in a fictitious land during a medieval-like era of magic and fantasy, Tears to Tiara unfolds with the Divine Empire’s rise to power as it conquers and rules lands far and wide. On the island of Erin, still ruled by the Ancient Kingdom, the Goidelic people are attempting to sacrifice priestess Riannon to revive protagonist and demon king Arawn to lead the resistance against the Empire. Although the ritual fails and Riannon survives, the seal imprisoning the demon king is broken and Arawn is resurrected. Armed with mysterious and devastating powers and a human’s demeanour, Arawn joins Riannon, her brother and battalion commander, Arthur, as well as their team of fighters comprising a swordsman, an archer and a quintet of magical pixies, in the epic struggle against the Divine Empire.",3,0,0,0,0
Finished,0,0,6.95,"Yanagimi,Touki|Yasumura,Youhei",0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,"Action, Fantasy, Romance, Harem, Supernatural, Military, Seinen",0,0,11917,0,0,1,1,0,1,0,9766,Taimadou Gakuen 35 Shiken Shoutai,https://myanimelist.net/manga/92590/Taimadou_Gakuen_35_Shiken_Shoutai,0,0,0," In order to battle witches who threaten to destroy their world, the Anti-Magic Academy trains special soldiers to be Inquisitors—but not every student is successful, as is evidenced by the ragtag 35th Test Platoon. Takeru Kusanagi, a soldier who relies on his sword rather than guns or magic, is captain of the struggling platoon. When the elite shooter Ouka Ohtori is demoted into the 35th Test Platoon for excessive violence, they're all in for a rocky mission... and an explosive future.  (Source: Seven Seas Entertainment)",2,1,0,0,0
Finished,0,0,6.55,Hiyohiyo,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,"Comedy, Ecchi, Fantasy, Romance, School, Harem, Supernatural, Seinen",0,0,3208,0,0,0,0,0,1,0,13121,Tama Hiyo,https://myanimelist.net/manga/20755/Tama_Hiyo,0,0,0, Taishi Hyoudou never expected the baby chick he picked up at the festival to turn into a beautiful girl…one who’s dying to serve his every whim – and lay him eggs!  (Source: Futari Wa Pretty Anon),2,1,0,1,0
Finished,0,0,6.80,"Hanao,Sutarou|Yanagimi,Touki",0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,"Action, Fantasy, Romance, Shounen, Harem, Supernatural, Military",0,0,3025,0,0,1,1,0,0,0,11197,Taimadou Gakuen 35 Shiken Shoutai,https://myanimelist.net/manga/48635/Taimadou_Gakuen_35_Shiken_Shoutai,1,0,0," Welcome to the 35th Test Platoon of the Antimagic Academy. The academy is home to squads that hunt down and kill, destroy, or otherwise render harmless magical practitioners and artifacts. The 35th Test Platoon is a band of misfits who don't seem to fit in anywhere else. Each member is a specialist with a focus on a different aspect of operations. The squad may become the greatest team ever, but first they must overcome their greatest obstacle: each other.  (Source: MU)",3,1,0,0,0
Finished,0,0,7.02,"Kanda,Haruka",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,16,0,0,0,1,0,0,0,1,0,0,0,0,"Romance, School, Shoujo, Harem, GenderBender",0,0,15082,0,0,0,0,0,0,0,9000,Sweet Girl,https://myanimelist.net/manga/22056/Sweet_Girl,0,0,0," A School Pop Comedy!  Masaki Aoi is a high school student with a sweet tooth. All her life she has been treated like a boy but change is on the horizon for this tomboy! Yuase Takumi is a third year middle school student. He's also the president of the Confectionery Club, and he's extended an exclusive invite to Aoi to join his club....too bad he thinks she's a HE! But pressure from her classmates forces Aoi to play along and she finds herself joining the Boys-Only Confectionery Club.  What will await her?  (Source: Spoils)",3,0,0,0,0
Finished,0,0,7.29,"Ohtaka,Shinobu",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,96,0,0,0,0,0,0,0,1,0,0,0,0,"Comedy, Ecchi, MartialArts, Romance, School, Harem, Seinen",0,0,1550,0,1,0,0,0,1,0,5744,Sumomomo Momomo: Chijou Saikyou no Yome,https://myanimelist.net/manga/4328/Sumomomo_Momomo__Chijou_Saikyou_no_Yome,0,0,0," Momoko is the only child of the Kuzuryuu clan, a powerful martial arts family with inhuman strength. But strong as she is, her father fears a woman will never be able to master the skills of the family. Unless Momoko marries and bears a capable heir, the Kuzuryuu line is doomed to weaken and die off! With this mission in mind, Momoko is sent to the rival Inuzuka clan, where she is to marry the son of their mighty leader. But Koushi Inuzuka abandoned the martial arts long ago. Now committed to his legal studies, the last thing Koushi has on his mind is marriage—especially not to the world's strongest bride!  (Source: Yen Press)",12,0,0,1,0
Finished,0,0,6.91,"Shouoto,Aya",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,"Romance, Shoujo, Harem",0,0,1875,0,0,0,0,0,0,0,10168,Super Darling!,https://myanimelist.net/manga/34491/Super_Darling,0,0,0," It's not that she tries to keep to herself, exactly: It's just that everyone seems to look right through her! Naturally, Sakuya Tohno has a complex about it. She says she's just like air: ever present, but never seen. All she wants is a friend, but building relationships isn't exactly easy for someone who is, for all intents and purposes, invisible. But then she hears a legend about the ""Thousand-Year Sakura"" and how, if one makes a wish beneath its perpetually-blossoming boughs, it's sure to come true. So in a moment of desperation, she races to the tree, only to find four very attractive boys waiting for her... And at that moment, beneath the cherry blossoms of the ever-blooming Thousand-Year Sakura, something incredible happens!  (Source: Turtle Paradise)",2,0,0,0,0
