status,title,mal_score,mal_ranking,num_chap,mal_popularity,num_vol,authors,mal_url
Finished,Oshikake Shimai to Kozukuri Jugyou wo Hajimemashita,2.00,N/A,8,39575,1,"Amakawa,Akito|Yamaguchi,Akira",https://myanimelist.net/manga/66891/Oshikake_Shimai_to_Kozukuri_Jugyou_wo_Hajimemashita
Finished,Oshikake Princess: Knight & Maid Tsuki,N/A,N/A,6,39646,1,"Goma,Satoshi|Tatsumi,Hirohiko",https://myanimelist.net/manga/75759/Oshikake_Princess__Knight___Maid_Tsuki
Finished,Princess Harem: Ohimesama wa Makerarenai!,7.00,N/A,7,39579,1,"Uehara,Ryou|Shimizu,Naotaka",https://myanimelist.net/manga/67159/Princess_Harem__Ohimesama_wa_Makerarenai
Finished,"Osananajimi ga Inma Datta node Sensei, Seitokaichou, Idol wo Sukihoudai!",N/A,N/A,10,39686,1,"Ariko,Youichi|Tanuma,Junichi",https://myanimelist.net/manga/79957/Osananajimi_ga_Inma_Datta_node_Sensei_Seitokaichou_Idol_wo_Sukihoudai
Finished,Omochikaeri Ikemen Shop: Ouchi de Juppori Tasting,N/A,23079,Unknown,39716,1,"Koizumi,Airi",https://myanimelist.net/manga/83261/Omochikaeri_Ikemen_Shop__Ouchi_de_Juppori_Tasting
Finished,Ore no Seiken wo Nuite Miro! Yuusha to Majo to Ane Usagi,N/A,N/A,6,39854,1,"Habara,Tetsu|Miyasu,Risa",https://myanimelist.net/manga/95759/Ore_no_Seiken_wo_Nuite_Miro_Yuusha_to_Majo_to_Ane_Usagi
Finished,Ojousama Harem: Shimai to Maid to Shitsuji no Boku,5.50,N/A,8,39580,1,"Uehara,Ryou|Shimizu,Naotaka",https://myanimelist.net/manga/67183/Ojousama_Harem__Shimai_to_Maid_to_Shitsuji_no_Boku
Finished,Ohimesama mo Elf mo Maid mo Minna de Haramase Harem!!,10.00,N/A,6,39844,1,"Aiuchi,Nano|Kinosaki,Yuki",https://myanimelist.net/manga/94809/Ohimesama_mo_Elf_mo_Maid_mo_Minna_de_Haramase_Harem
Finished,Motto Maid Narimasu!,10.00,N/A,7,39573,1,"Aohashi,Yutaka|Pochi,Katou",https://myanimelist.net/manga/66607/Motto_Maid_Narimasu
Finished,Motto Saimin!!!,N/A,N/A,8,39645,1,"Goma,Satoshi|Tatsumi,Hirohiko",https://myanimelist.net/manga/75737/Motto_Saimin
Finished,Motemote na Boku wa Sekai made Sukucchaun da ze (Nyuumon),10.00,22767,2,39691,1,"Natsuki,Coco|Tani,Haruyoshi",https://myanimelist.net/manga/80675/Motemote_na_Boku_wa_Sekai_made_Sukucchaun_da_ze_Nyuumon
Finished,Motemote na Boku wa Sekai made Sukucchaun da ze (Mousou),10.00,22765,3,39690,1,"Natsuki,Coco|Tani,Haruyoshi",https://myanimelist.net/manga/80669/Motemote_na_Boku_wa_Sekai_made_Sukucchaun_da_ze_Mousou
Finished,Miko Ama Sister,3.00,N/A,7,39536,1,"Kamishiro,Ryuu|Araoshi,Yuu",https://myanimelist.net/manga/62489/Miko_Ama_Sister
Finished,Meijite! Fukujuu Fräulein: à la carte,10.00,23347,6,39735,1,"Hinata,Momo|Shouji,Takashi",https://myanimelist.net/manga/85633/Meijite_Fukujuu_Fräulein__à_la_carte
Finished,Miraroma: Miracle Romance Strawberry Scramble,7.00,N/A,Unknown,39717,1,"Mikeou|Mizusaki,Mutsuki|Marmalade",https://myanimelist.net/manga/83313/Miraroma__Miracle_Romance_Strawberry_Scramble
Publishing,Kokuchou no Psychedelica,N/A,26816,Unknown,39878,Unknown,"Yuiga,Satoru|Akizuki,Suzune",https://myanimelist.net/manga/98533/Kokuchou_no_Psychedelica
Finished,Maman na Koibito wa Ikaga desu ka?,N/A,N/A,7,39549,1,"089,Tarou|Kishiki,Kanmitsu",https://myanimelist.net/manga/63273/Maman_na_Koibito_wa_Ikaga_desu_ka
Finished,Maid in Battle! Ojousama Sensou,5.00,N/A,6,39741,1,"Yoshikazu,Miwa|Yamaguchi,Akira",https://myanimelist.net/manga/86066/Maid_in_Battle_Ojousama_Sensou
Finished,Maid in Battle! Megami Tensei,N/A,N/A,7,39742,1,"Yoshikazu,Miwa|Yamaguchi,Akira",https://myanimelist.net/manga/86067/Maid_in_Battle_Megami_Tensei
Finished,Kozukuri Princess,N/A,N/A,7,39670,1,"Kawazato,Kazunobu|Ozawa,Akifumi",https://myanimelist.net/manga/77205/Kozukuri_Princess
Finished,Kazoku Keikaku,9.00,N/A,Unknown,39610,1,"Maezono,Haruka|D.O.|Fukunaga,Yumi",https://myanimelist.net/manga/71047/Kazoku_Keikaku
Finished,Like a Butler,N/A,N/A,Unknown,39606,1,"Murakami,Saki|AXL|Senomoto,Hisashi",https://myanimelist.net/manga/70563/Like_a_Butler
Finished,Kaitou Oshioki Harem,4.00,N/A,7,39537,1,"Fudematsuri,Kyousuke|Washimi,Yu-ko",https://myanimelist.net/manga/62553/Kaitou_Oshioki_Harem
Finished,"Imouto Delivery: Oniichan to Koibito ni Naritai, 3-nin no Oshikake Imouto",N/A,N/A,12,39738,1,"Ike,Kanata|Piyodera,Mucha",https://myanimelist.net/manga/85958/Imouto_Delivery__Oniichan_to_Koibito_ni_Naritai_3-nin_no_Oshikake_Imouto
Finished,Himote Danshi no Ore ga Love Comedy wo Install!?,N/A,N/A,Unknown,39688,1,"Haneyuki|Kanitama,Corokke",https://myanimelist.net/manga/80231/Himote_Danshi_no_Ore_ga_Love_Comedy_wo_Install
Finished,Harem Garden,N/A,N/A,6,39724,1,"Takeuchi,Ken|Dodome-iro,Mayonnaise",https://myanimelist.net/manga/84401/Harem_Garden
Finished,Harem Revolution,N/A,N/A,6,39615,1,"Takeuchi,Ken|Minakami,Rinka",https://myanimelist.net/manga/71867/Harem_Revolution
Finished,Happy Manifest: Dokidoki Gakuen Senkyo,2.00,N/A,8,39538,1,"Yukizuki,Chikuba|Fudematsuri,Kyousuke",https://myanimelist.net/manga/62601/Happy_Manifest__Dokidoki_Gakuen_Senkyo
Finished,Gakuen☆Shinsengumi! Otome Gokoro to Kyokuchuu Hatto,N/A,N/A,Unknown,39609,1,"Akaza|May-Be Soft|Maezono,Haruka",https://myanimelist.net/manga/70963/Gakuen☆Shinsengumi_Otome_Gokoro_to_Kyokuchuu_Hatto
Finished,Gakuen Zenbu Hitorijime!,7.00,N/A,7,39577,1,"Hiyohiyo|Uehara,Ryou",https://myanimelist.net/manga/67141/Gakuen_Zenbu_Hitorijime
Finished,Hanataba: Sannin no Captain,4.00,N/A,4,39597,1,"Hokuto,Rin|Serizawa,Katsumi",https://myanimelist.net/manga/68833/Hanataba__Sannin_no_Captain
Finished,Ghost Rhapsody: Ojousama wa Jibakurei!?,5.50,N/A,7,39551,1,"Ibuki,Yasurou|Urase,Shioji",https://myanimelist.net/manga/63701/Ghost_Rhapsody__Ojousama_wa_Jibakurei
Finished,Gakuen Sweet Pai: Uruwashi no Seitokai Shikkoubu,5.00,N/A,4,39539,1,"Onogawa,Kiwi|Habara,Tetsu",https://myanimelist.net/manga/62719/Gakuen_Sweet_Pai__Uruwashi_no_Seitokai_Shikkoubu
Finished,"Danjo Gyakuten shita Kekka, Sekai wa Choroin de Afureteimasu",10.00,26688,6,40379,1,"Fujisaki,Yuki|Kayama,Rim",https://myanimelist.net/manga/97986/Danjo_Gyakuten_shita_Kekka_Sekai_wa_Choroin_de_Afureteimasu
Finished,Drag Royal,4.50,N/A,11,39542,2,"Kanna|Habara,Tetsu",https://myanimelist.net/manga/62779/Drag_Royal
Finished,Ero Ero Sailor Senshi Knights of Harem,N/A,N/A,6,39929,1,"isao|Uehara,Ryou",https://myanimelist.net/manga/102321/Ero_Ero_Sailor_Senshi_Knights_of_Harem
Finished,Blade Girls: Koi no Hiken ni Tachisuji Muyou!,N/A,N/A,5,39540,1,"Yudesoba|Habara,Tetsu",https://myanimelist.net/manga/62725/Blade_Girls__Koi_no_Hiken_ni_Tachisuji_Muyou
Finished,Wizard's Climber,8.00,N/A,Unknown,39058,1,"Nagare,Hyougo|Takanami,Rei|SofthouseChara|Sasaki,Tamaru|Kannon,Ouji|Yuuki,Rei",https://myanimelist.net/manga/73477/Wizards_Climber
Finished,Tsun na Kanojo Dere na Kanojo,N/A,N/A,Unknown,39117,1,"Satou,Satoru|PeasSoft|Umetachi,Shiori",https://myanimelist.net/manga/78317/Tsun_na_Kanojo_Dere_na_Kanojo
Finished,Tenka Touitsu! Maid Senshuken,2.00,N/A,10,39056,1,"Tateha|Moribayashi,Akira",https://myanimelist.net/manga/73331/Tenka_Touitsu_Maid_Senshuken
Finished,Silicon☆Magic: Umareru Mae kara Anata Senyou,8.00,N/A,Unknown,39151,1,"Kamei|Mizushima,Oonari|Bishop|Kanami",https://myanimelist.net/manga/83707/Silicon☆Magic__Umareru_Mae_kara_Anata_Senyou
Finished,Sugar+Spice 2: Ashita no Ashita no Mata Ashita,N/A,N/A,Unknown,39149,1,"Ginta|Morisaki,Ryouto|Chuable Soft",https://myanimelist.net/manga/83703/Sugar_Spice_2__Ashita_no_Ashita_no_Mata_Ashita
Finished,Sei Gyaku Rape Gakuen: Ore no Seieki wo Nekosogi Shibori Tsukusu Onnatachi,8.00,N/A,Unknown,39246,1,"Kurotaki,Shiyu|Dieselmine|Nakajou",https://myanimelist.net/manga/92510/Sei_Gyaku_Rape_Gakuen__Ore_no_Seieki_wo_Nekosogi_Shibori_Tsukusu_Onnatachi
Finished,Saimin☆Gakuen,N/A,N/A,7,39230,1,"Yukirin|Yamaguchi,Akira",https://myanimelist.net/manga/90459/Saimin☆Gakuen
Finished,Saimin!,N/A,N/A,10,39078,1,"Goma,Satoshi|Tatsumi,Hirohiko",https://myanimelist.net/manga/75779/Saimin
Finished,Saikyou Party ga Ore Senyou xx ni Class Change!?,10.00,N/A,7,39079,1,"Habara,Tetsu|Kannazuki,Nemu",https://myanimelist.net/manga/75781/Saikyou_Party_ga_Ore_Senyou_xx_ni_Class_Change
Finished,Otome no Sono wo Hitorijime!,7.00,N/A,7,39013,1,"Hiyohiyo|Uehara,Ryou",https://myanimelist.net/manga/67133/Otome_no_Sono_wo_Hitorijime
Finished,Nariyuki Guardian,5.00,N/A,5,38952,1,"Karino,Kei|igul",https://myanimelist.net/manga/59839/Nariyuki_Guardian
Finished,Maou wo Taosu Yuusha no Hazu ga...... Maketara Kozukuri!?,N/A,N/A,8,39016,1,"Yukirin|Yamaguchi,Akira",https://myanimelist.net/manga/67251/Maou_wo_Taosu_Yuusha_no_Hazu_ga_Maketara_Kozukuri
Finished,Makai wo Kouryaku shite Maou wo Ero Dorei ni Shitemita,N/A,N/A,7,39050,1,"Ariko,Youichi|Habara,Tetsu",https://myanimelist.net/manga/73071/Makai_wo_Kouryaku_shite_Maou_wo_Ero_Dorei_ni_Shitemita
Finished,Katekyo Paradise! Koakuma 3-nin to Kyakkyaufufu no Natsuyasumi,N/A,N/A,8,39131,1,"Komoda|Bandou,Shinkurou",https://myanimelist.net/manga/80407/Katekyo_Paradise_Koakuma_3-nin_to_Kyakkyaufufu_no_Natsuyasumi
Finished,Maid Narimasu!,7.00,N/A,Unknown,38977,4,"Aohashi,Yutaka|Pochi,Katou",https://myanimelist.net/manga/61765/Maid_Narimasu
Finished,Lyrical Lyric,7.00,N/A,Unknown,39091,2,"Mikeou|Sasamiya,Tilde|Marmalade",https://myanimelist.net/manga/76363/Lyrical_Lyric
Finished,Hiyoko Strike! Houmatsu no Yume,10.00,23166,9,39153,1,"Yasuyuki|Kobayashi,Kouji|Satou,Yoshihisa|Ex-iT",https://myanimelist.net/manga/83861/Hiyoko_Strike_Houmatsu_no_Yume
Finished,Harem Striker,N/A,N/A,6,39043,1,"Takeuchi,Ken|Sena,Chifuyu*",https://myanimelist.net/manga/72063/Harem_Striker
Finished,Harem Tempest,N/A,N/A,6,39041,1,"Asanuma,Katsuaki|Takeuchi,Ken",https://myanimelist.net/manga/71925/Harem_Tempest
Finished,Harem Resistance,2.00,N/A,12,38988,2,"Kanna|Takeuchi,Ken",https://myanimelist.net/manga/63565/Harem_Resistance
Finished,Harem Avant-garde,N/A,N/A,6,39325,1,"Takeuchi,Ken|Nekoi,Hikaru",https://myanimelist.net/manga/99370/Harem_Avant-garde
Finished,Harem Queen,N/A,N/A,6,39040,1,"Kanna|Takeuchi,Ken",https://myanimelist.net/manga/71809/Harem_Queen
Finished,Hare Tokidoki Tenshi: Boku no Oneesama,7.00,N/A,6,39105,1,"Hiyohiyo|Morino,Izumi",https://myanimelist.net/manga/77207/Hare_Tokidoki_Tenshi__Boku_no_Oneesama
Finished,Fukushuu Yuusha no Meikyuu Dorei Harem,N/A,N/A,8,39373,1,"Matarou|Akatsuki,Touwa",https://myanimelist.net/manga/102767/Fukushuu_Yuusha_no_Meikyuu_Dorei_Harem
Finished,Ero Live!: Iinari Idol Project,10.00,N/A,7,39221,1,"Miyasurisa|Kawazato,Kazunobu",https://myanimelist.net/manga/89804/Ero_Live__Iinari_Idol_Project
Publishing,Yukemuri Onsenkyou Mahoroba no Mainichi: Onsen-bu Katsudou Biyori,10.00,22908,Unknown,31954,Unknown,"Riichu|Mizuki,Hiro",https://myanimelist.net/manga/81919/Yukemuri_Onsenkyou_Mahoroba_no_Mainichi__Onsen-bu_Katsudou_Biyori
