status,Police,Space,mal_score,authors,Vampire,Demons,Sports,Romance,Music,Comedy,Yuri,SuperPower,SliceofLife,Harem,Josei,Fantasy,Cars,Horror,Shoujo,num_chap,Game,Adventure,ShoujoAi,GenderBender,Thriller,SciFi,Mystery,School,Kids,Magic,ShounenAi,Yaoi,genres,Drama,Samurai,mal_popularity,Historical,MartialArts,Action,Military,Parody,Seinen,Hentai,mal_ranking,title,mal_url,Shounen,Psychological,Mecha,synopsis,num_vol,Supernatural,Dementia,Ecchi,Doujinshi
Finished,0,0,7.60,"Yasaka,Minato|Habara,Tetsu",0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,", Action, Comedy, Ecchi, Fantasy, Romance, School, Harem, Supernatural",0,0,33376,0,0,1,0,0,0,0,21115,Tsuchi Zokusei wa Date ja Nai!,https://myanimelist.net/manga/64939/Tsuchi_Zokusei_wa_Date_ja_Nai,0,0,0,,7,1,0,1,0
Finished,0,0,6.80,"Arai,Teru|Sacchi",0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,41,0,0,0,0,0,0,0,1,0,0,0,0,", Comedy, Ecchi, Romance, School, Harem, SliceofLife",0,0,33403,0,0,0,0,0,0,0,21805,Room No.1301,https://myanimelist.net/manga/72361/Room_No1301,0,0,0," High school Student Kinugawa Kenichi is one of the members of the class committee and also the boyfriend of the super cute Ooumi Chiyako. However, one day, a new student, Kuwabatake Aya, transfers to their school, and demands that Kenichi be her boyfriend...?! Who exactly is this girl, and how does she know Kenichi?  (Source: Operation Boredom)",11,0,0,1,0
Publishing,0,0,10.00,Homare|Kuromizuhebi,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,", Ecchi, Fantasy, Harem, Supernatural",0,0,33532,0,0,0,0,0,0,0,26793,Ore ga Inmajutsu de Dorei Harem wo Tsukuru Hanashi,https://myanimelist.net/manga/98432/Ore_ga_Inmajutsu_de_Dorei_Harem_wo_Tsukuru_Hanashi,0,0,0," A man was summoned to another world inhabited by angels, demons, humans and demi-humans. He was told by the demon-race to collect magical power, and the method of collection he chose was ""rape""...  What will become of the girls who fall into a slave training...?  (Source: Shousetsuka ni Narou)",Unknown,1,0,1,0
Finished,0,0,N/A,"Whirlpool|Shinonome,Kazuhiko|Nishimura,Yuuichi",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,", Hentai, School, Harem, Supernatural",0,0,33421,0,0,0,0,0,0,1,N/A,Neko☆Koi! Nekogami-sama to Nekomimi no Tatari,https://myanimelist.net/manga/76511/Neko☆Koi_Nekogami-sama_to_Nekomimi_no_Tatari,0,0,0,,1,1,0,0,0
Finished,0,0,10.00,Ricotta|Syroh|Madosoft,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,", Hentai, School, Harem",0,0,33396,0,0,0,0,0,0,1,N/A,Namaiki Delation: Hitotsuki Goto ni Dereru Saikyou Otome Nagisa,https://myanimelist.net/manga/70915/Namaiki_Delation__Hitotsuki_Goto_ni_Dereru_Saikyou_Otome_Nagisa,0,0,0," Shinjuurou managed to avoid supplementary lessons by passing the make-up test. However, his joy was fleeting, as he was tricked by his teacher to be a member of the cultural festival committee. Since there was no one else there, he had to find other members to join as well… but why are all those joined so cheeky?  (Source: Hau~ Omochikaeri!)",1,0,0,0,0
Publishing,0,0,N/A,"Dabu,Ryuu|Ryuuyuu",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,", Fantasy, Harem",0,0,33576,0,0,0,0,0,0,0,30530,"Maou ni Natte node, Dungeon Tsukutte Jingai Musume to Honobono suru",https://myanimelist.net/manga/110329/Maou_ni_Natte_node_Dungeon_Tsukutte_Jingai_Musume_to_Honobono_suru,0,0,0,,Unknown,0,0,0,0
Finished,0,0,8.50,"Mofu|Nimaru,Shuichi",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,", Comedy, Romance, School, Harem",0,0,33445,0,0,0,0,0,0,0,23338,Onnanoko wa Yasashikute Kawaii Mono dato Kangaeteita Jiki ga Ore ni mo Arimashita,https://myanimelist.net/manga/85553/Onnanoko_wa_Yasashikute_Kawaii_Mono_dato_Kangaeteita_Jiki_ga_Ore_ni_mo_Arimashita,0,0,0,,3,0,0,0,0
Finished,0,0,8.50,"Tateha|Uehara,Ryou",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,", Hentai, Harem",0,0,33382,0,0,0,0,0,0,1,N/A,Maid Sanshimai: Chuusei no Cerberus,https://myanimelist.net/manga/66957/Maid_Sanshimai__Chuusei_no_Cerberus,0,0,0,,1,0,0,0,0
Finished,0,0,6.00,"Pierre,Yoshio|Ishiba,Yoshikazu",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,", Hentai, Harem",0,0,39524,0,0,0,0,0,0,1,N/A,Yuni Yuni Boku to Ojousama no Private Lesson,https://myanimelist.net/manga/60995/Yuni_Yuni_Boku_to_Ojousama_no_Private_Lesson,0,0,0,,1,0,0,0,0
Finished,0,0,4.00,"Kagura,Youko|Aizawa,Hiroshi",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,", Hentai, Harem",0,0,39520,0,0,0,0,0,0,1,N/A,Yuuwaku Resort: Bunny Bunny Panic,https://myanimelist.net/manga/60641/Yuuwaku_Resort__Bunny_Bunny_Panic,0,0,0,,1,0,0,0,0
Finished,0,0,3.00,"Kagura,Youko|Nigo",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,", Hentai, Harem",0,0,39514,0,0,0,0,0,0,1,N/A,Waitress Panic,https://myanimelist.net/manga/60531/Waitress_Panic,0,0,0,,1,0,0,0,0
Finished,0,0,2.00,"Aohashi,Yutaka|Arisue,Tsukasa",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,", Hentai, Harem",0,0,39571,0,0,0,0,0,0,1,N/A,Triple Seitokaichou to Koi no Shugorei,https://myanimelist.net/manga/66359/Triple_Seitokaichou_to_Koi_no_Shugorei,0,0,0,,1,0,0,0,0
Finished,0,0,N/A,"Ishiba,Yoshikazu|Hareno,Chiame",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,", Hentai, Harem",0,0,39566,0,0,0,0,0,0,1,N/A,Triple Trouble Princess,https://myanimelist.net/manga/66037/Triple_Trouble_Princess,0,0,0,,1,0,0,0,0
Finished,0,0,7.00,"Amei,Sumeru|Kuroi,Hiroki",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,", Harem, Supernatural",0,0,39529,0,0,0,0,0,0,0,20755,Sisfina,https://myanimelist.net/manga/61483/Sisfina,0,0,0,,2,1,0,0,0
Finished,0,0,N/A,"Satou,Satoru|Uehara,Ryou",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,", Fantasy, Hentai, School, Harem",0,0,39863,0,0,0,0,0,0,1,N/A,Sword School Harem: Sandai Kenki wo Saimin Seifuku,https://myanimelist.net/manga/97000/Sword_School_Harem__Sandai_Kenki_wo_Saimin_Seifuku,0,0,0,,1,0,0,0,0
